MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
17.8017	268435456	2.3666e-15	128	0.223762	0.623365	6.19888e-06	9.53674e-07	0.627958	0.100371	0.482304
17.7785	268435456	2.3666e-15	128	0.305143	0.576946	4.05312e-06	9.53674e-07	0.602511	0.128104	0.456
17.9986	268435456	2.3666e-15	128	0.319008	0.532572	5.00679e-06	1.90735e-06	0.598288	0.129114	0.445365
18.1578	268435456	2.3666e-15	128	0.233283	0.616866	9.53674e-07	9.53674e-07	0.598665	0.11416	0.469427
18.47	268435456	2.3666e-15	128	0.183656	0.640654	4.05312e-06	9.53674e-07	0.604017	0.079756	0.492053
18.0839	268435456	2.3666e-15	128	0.336104	0.50456	8.10623e-06	2.14577e-06	0.610563	0.124956	0.451896
17.9686	268435456	2.3666e-15	128	0.237299	0.616909	4.76837e-06	9.53674e-07	0.608112	0.125418	0.457064
18.3067	268435456	2.3666e-15	128	0.176215	0.6815	0	9.53674e-07	0.595701	0.112993	0.468233
17.9651	268435456	2.3666e-15	128	0.245177	0.597995	5.96046e-06	6.91414e-06	0.608948	0.107852	0.474965
18.1967	268435456	2.3666e-15	128	0.253527	0.584676	2.86102e-06	1.90735e-06	0.596232	0.132525	0.44177
17.4929	268435456	2.3666e-15	128	0.34522	0.551704	9.53674e-07	1.19209e-06	0.60791	0.122921	0.449402
18.4532	268435456	2.3666e-15	128	0.153496	0.689952	4.05312e-06	3.09944e-06	0.60003	0.110082	0.467346
18.038	268435456	2.3666e-15	128	0.175814	0.69003	5.00679e-06	9.53674e-07	0.610551	0.110176	0.471173
18.4742	268435456	2.3666e-15	128	0.225907	0.578966	1.90735e-06	9.53674e-07	0.61308	0.0837619	0.492315
18.5969	268435456	2.3666e-15	128	0.144158	0.680897	4.05312e-06	9.53674e-07	0.611878	0.054704	0.521601
17.7435	268435456	2.3666e-15	128	0.334116	0.581659	9.53674e-07	1.19209e-06	0.602899	0.145163	0.43502
18.5023	268435456	2.3666e-15	128	0.183513	0.64429	4.05312e-06	9.53674e-07	0.601053	0.117916	0.460152
18.974	268435456	2.3666e-15	128	0.144448	0.636609	4.05312e-06	2.14577e-06	0.600276	0.108689	0.464505
18.4267	268435456	2.3666e-15	128	0.231521	0.572561	4.05312e-06	9.53674e-07	0.613803	0.0826638	0.493712
18.2205	268435456	2.3666e-15	128	0.158325	0.683447	2.86102e-06	0	0.612356	0.058826	0.517102
18.7718	268435456	2.3666e-15	128	0.174526	0.621562	1.90735e-06	9.53674e-07	0.609237	0.122791	0.455445
18.7847	268435456	2.3666e-15	128	0.156147	0.650845	2.86102e-06	1.90735e-06	0.598094	0.113279	0.460842
17.8474	268435456	2.3666e-15	128	0.258594	0.610601	6.19888e-06	4.05312e-06	0.609024	0.120862	0.450417
17.5313	268435456	2.3666e-15	128	0.361926	0.531139	2.86102e-06	9.53674e-07	0.600233	0.146953	0.431901
17.9062	268435456	2.3666e-15	128	0.170913	0.701275	1.90735e-06	9.53674e-07	0.624351	0.101364	0.478461
17.9184	268435456	2.3666e-15	128	0.334472	0.55939	2.14577e-06	2.14577e-06	0.595907	0.119339	0.457868
18.2375	268435456	2.3666e-15	128	0.156434	0.678941	3.8147e-06	9.53674e-07	0.61227	0.0583651	0.51635
17.9985	268435456	2.3666e-15	128	0.329593	0.521873	5.96046e-06	9.53674e-07	0.597778	0.143959	0.433269
18.2561	268435456	2.3666e-15	128	0.185902	0.639919	4.05312e-06	1.19209e-06	0.614031	0.0803111	0.4956
17.9978	268435456	2.3666e-15	128	0.185119	0.662109	3.8147e-06	1.19209e-06	0.622325	0.0899251	0.484545
18.6247	268435456	2.3666e-15	128	0.177723	0.64583	3.8147e-06	9.53674e-07	0.594717	0.117198	0.456424
18.9914	268435456	2.3666e-15	128	0.157719	0.623853	3.09944e-06	9.53674e-07	0.598729	0.0669899	0.510115
17.6122	268435456	2.3666e-15	128	0.366649	0.521425	9.53674e-07	9.53674e-07	0.605984	0.148973	0.431405
18.0538	268435456	2.3666e-15	128	0.333257	0.555371	1.90735e-06	0	0.605841	0.118072	0.450233
18.1216	268435456	2.3666e-15	128	0.258903	0.583845	6.91414e-06	2.86102e-06	0.603456	0.112438	0.470018
17.7036	268435456	2.3666e-15	128	0.29155	0.603095	5.96046e-06	9.53674e-07	0.605154	0.129945	0.45067
18.1008	268435456	2.3666e-15	128	0.236422	0.59881	4.05312e-06	9.53674e-07	0.610314	0.0854442	0.493024
17.9089	268435456	2.3666e-15	128	0.25379	0.604505	8.10623e-06	2.86102e-06	0.592124	0.134961	0.448041
18.6646	268435456	2.3666e-15	128	0.157533	0.658666	9.53674e-07	1.19209e-06	0.606496	0.119115	0.45408
18.414	268435456	2.3666e-15	128	0.219989	0.601825	5.00679e-06	9.53674e-07	0.601857	0.105955	0.465814
18.7613	268435456	2.3666e-15	128	0.164373	0.638611	3.8147e-06	9.53674e-07	0.600574	0.113852	0.464476
18.8964	268435456	2.3666e-15	128	0.171616	0.628178	3.09944e-06	9.53674e-07	0.593071	0.111499	0.460217
18.1833	268435456	2.3666e-15	128	0.276404	0.550529	4.05312e-06	3.09944e-06	0.604226	0.110338	0.465617
18.1661	268435456	2.3666e-15	128	0.261041	0.567856	9.05991e-06	9.53674e-07	0.608474	0.10463	0.469442
18.2587	268435456	2.3666e-15	128	0.281678	0.569861	7.86781e-06	3.09944e-06	0.586655	0.123589	0.454371
18.5409	268435456	2.3666e-15	128	0.184133	0.642998	2.86102e-06	1.90735e-06	0.59348	0.117821	0.459595
18.1739	268435456	2.3666e-15	128	0.191162	0.659753	5.00679e-06	3.09944e-06	0.612277	0.105859	0.471221
18.1615	268435456	2.3666e-15	128	0.217733	0.647809	4.05312e-06	2.14577e-06	0.601631	0.120955	0.454688
17.7259	268435456	2.3666e-15	128	0.313489	0.573492	3.09944e-06	9.53674e-07	0.599658	0.120515	0.452788
18.2754	268435456	2.3666e-15	128	0.258415	0.570334	5.96046e-06	4.05312e-06	0.597196	0.11932	0.452795
18.636	268435456	2.3666e-15	128	0.15371	0.676013	4.05312e-06	2.14577e-06	0.592421	0.119231	0.45848
18.6215	268435456	2.3666e-15	128	0.175993	0.630908	6.91414e-06	3.09944e-06	0.60203	0.104386	0.471201
18.3529	268435456	2.3666e-15	128	0.262921	0.569072	4.05312e-06	1.90735e-06	0.595768	0.125601	0.448604
18.3841	268435456	2.3666e-15	128	0.233756	0.573859	3.09944e-06	0	0.611687	0.087425	0.494387
18.1747	268435456	2.3666e-15	128	0.298985	0.595151	1.90735e-06	3.09944e-06	0.583953	0.111311	0.461243
18.9155	268435456	2.3666e-15	128	0.198748	0.580016	3.09944e-06	9.53674e-07	0.610045	0.0570199	0.515604
18.0874	268435456	2.3666e-15	128	0.196905	0.655212	5.96046e-06	0	0.609844	0.102576	0.469977
18.46	268435456	2.3666e-15	128	0.159682	0.697986	1.90735e-06	1.90735e-06	0.588221	0.117484	0.455548
18.1211	268435456	2.3666e-15	128	0.203643	0.640612	8.10623e-06	9.53674e-07	0.608458	0.127978	0.4453
18.3463	268435456	2.3666e-15	128	0.17243	0.654655	4.05312e-06	0	0.610357	0.0837469	0.49366
18.7919	268435456	2.3666e-15	128	0.152971	0.648316	3.09944e-06	9.53674e-07	0.60971	0.10912	0.466588
18.1853	268435456	2.3666e-15	128	0.249094	0.594174	9.05991e-06	9.53674e-07	0.598183	0.127115	0.445713
18.2848	268435456	2.3666e-15	128	0.244266	0.614442	1.19209e-06	4.05312e-06	0.602935	0.120227	0.457353
18.6769	268435456	2.3666e-15	128	0.182598	0.63937	0	1.19209e-06	0.600956	0.106648	0.46662
18.3859	268435456	2.3666e-15	128	0.217941	0.606504	2.86102e-06	9.53674e-07	0.602256	0.107894	0.475798
18.1624	268435456	2.3666e-15	128	0.265521	0.578106	2.86102e-06	9.53674e-07	0.590174	0.134845	0.440131
18.7078	268435456	2.3666e-15	128	0.148474	0.647535	9.53674e-07	1.19209e-06	0.613435	0.053302	0.520592
18.5517	268435456	2.3666e-15	128	0.194823	0.638412	4.05312e-06	3.09944e-06	0.596859	0.111311	0.455444
17.9572	268435456	2.3666e-15	128	0.244532	0.626696	4.76837e-06	4.05312e-06	0.591136	0.133977	0.441185
18.7466	268435456	2.3666e-15	128	0.168047	0.643719	1.90735e-06	1.90735e-06	0.602187	0.118841	0.458959
18.5623	268435456	2.3666e-15	128	0.212981	0.59188	4.05312e-06	9.53674e-07	0.607388	0.118135	0.455714
17.9474	268435456	2.3666e-15	128	0.306065	0.583963	9.53674e-07	9.53674e-07	0.611644	0.130829	0.443851
18.2019	268435456	2.3666e-15	128	0.192379	0.633147	3.09944e-06	9.53674e-07	0.61117	0.0889978	0.486826
18.2268	268435456	2.3666e-15	128	0.235203	0.619076	5.00679e-06	3.09944e-06	0.592016	0.113692	0.457571
18.0346	268435456	2.3666e-15	128	0.262437	0.62904	4.05312e-06	0	0.586763	0.141863	0.432653
17.2032	268435456	2.3666e-15	128	0.41339	0.539432	8.10623e-06	4.05312e-06	0.60158	0.123405	0.45996
18.4085	268435456	2.3666e-15	128	0.204128	0.62887	5.00679e-06	3.09944e-06	0.610495	0.108272	0.46295
18.2461	268435456	2.3666e-15	128	0.321112	0.498995	7.15256e-06	2.14577e-06	0.60527	0.112435	0.46498
18.2723	268435456	2.3666e-15	128	0.215521	0.604671	5.96046e-06	9.53674e-07	0.61067	0.0904698	0.483687
18.5117	268435456	2.3666e-15	128	0.177951	0.635444	3.09944e-06	3.09944e-06	0.603081	0.067589	0.505304
17.9036	268435456	2.3666e-15	128	0.26802	0.598112	5.00679e-06	3.09944e-06	0.599797	0.127384	0.450007
18.1432	268435456	2.3666e-15	128	0.266698	0.573705	5.96046e-06	5.00679e-06	0.605153	0.110234	0.466109
18.7289	268435456	2.3666e-15	128	0.146774	0.663402	9.53674e-07	4.05312e-06	0.602066	0.110481	0.460958
17.6819	268435456	2.3666e-15	128	0.343938	0.588389	1.19209e-06	9.53674e-07	0.599407	0.13923	0.436358
18.8664	268435456	2.3666e-15	128	0.15967	0.648949	3.09944e-06	1.19209e-06	0.588466	0.120202	0.459211
18.7431	268435456	2.3666e-15	128	0.135552	0.686866	9.53674e-07	9.53674e-07	0.590085	0.11038	0.468263
18.7585	268435456	2.3666e-15	128	0.181265	0.620173	9.53674e-07	9.53674e-07	0.60426	0.115215	0.4603
18.4503	268435456	2.3666e-15	128	0.168854	0.647976	4.05312e-06	9.53674e-07	0.610786	0.0597229	0.516761
19.1207	268435456	2.3666e-15	128	0.145796	0.625446	1.90735e-06	9.53674e-07	0.602038	0.052768	0.519567
17.9408	268435456	2.3666e-15	128	0.323105	0.531928	1.90735e-06	1.19209e-06	0.609066	0.140184	0.429126
17.2539	268435456	2.3666e-15	128	0.336895	0.573641	6.19888e-06	2.14577e-06	0.607442	0.12872	0.460879
18.2637	268435456	2.3666e-15	128	0.200945	0.619283	5.96046e-06	9.53674e-07	0.610651	0.104654	0.470009
18.3207	268435456	2.3666e-15	128	0.212946	0.625101	6.91414e-06	1.19209e-06	0.616956	0.110968	0.466345
19.0173	268435456	2.3666e-15	128	0.169593	0.611617	3.09944e-06	9.53674e-07	0.592604	0.117443	0.455436
