MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
17.9033	268435456	2.3666e-15	128	0.312179	0.580195	9.53674e-07	1.90735e-06	0.608303	0.135612	0.445818
17.6915	268435456	2.3666e-15	128	0.204575	0.661399	3.09944e-06	1.90735e-06	0.620636	0.108647	0.477279
17.0393	268435456	2.3666e-15	128	0.295455	0.65275	1.00136e-05	3.09944e-06	0.610855	0.130372	0.459778
18.1964	268435456	2.3666e-15	128	0.240687	0.580897	2.14577e-06	9.53674e-07	0.611143	0.124736	0.448725
18.3914	268435456	2.3666e-15	128	0.175196	0.65366	5.00679e-06	9.53674e-07	0.610971	0.104425	0.47314
18.3652	268435456	2.3666e-15	128	0.241764	0.578111	1.90735e-06	1.90735e-06	0.593245	0.120536	0.462559
17.8697	268435456	2.3666e-15	128	0.235037	0.643314	1.90735e-06	9.53674e-07	0.601216	0.139775	0.443784
18.8124	268435456	2.3666e-15	128	0.14422	0.654744	6.19888e-06	1.19209e-06	0.608206	0.0945141	0.484291
18.6313	268435456	2.3666e-15	128	0.223683	0.587525	5.96046e-06	3.09944e-06	0.598647	0.122485	0.454296
18.3283	268435456	2.3666e-15	128	0.208068	0.639729	5.96046e-06	4.05312e-06	0.592576	0.129129	0.454613
18.4437	268435456	2.3666e-15	128	0.254464	0.554527	1.00136e-05	2.14577e-06	0.598094	0.127561	0.44296
17.6771	268435456	2.3666e-15	128	0.191274	0.718443	1.90735e-06	1.50204e-05	0.606542	0.115611	0.476017
18.9425	268435456	2.3666e-15	128	0.145192	0.63375	2.86102e-06	1.90735e-06	0.612082	0.0537889	0.525041
18.3675	268435456	2.3666e-15	128	0.171573	0.651239	2.86102e-06	3.09944e-06	0.620405	0.0909131	0.485808
18.453	268435456	2.3666e-15	128	0.219237	0.624415	3.09944e-06	1.90735e-06	0.593967	0.117866	0.458252
18.2758	268435456	2.3666e-15	128	0.196189	0.633118	3.09944e-06	9.53674e-07	0.603601	0.119198	0.461116
18.2094	268435456	2.3666e-15	128	0.257404	0.57896	5.00679e-06	4.05312e-06	0.596644	0.118743	0.464156
17.9802	268435456	2.3666e-15	128	0.284079	0.570843	8.10623e-06	2.14577e-06	0.587796	0.133949	0.44419
17.3023	268435456	2.3666e-15	128	0.273168	0.646409	7.15256e-06	9.53674e-07	0.611092	0.130653	0.448955
18.7566	268435456	2.3666e-15	128	0.144645	0.654236	4.05312e-06	9.53674e-07	0.609312	0.0794401	0.501703
17.9919	268435456	2.3666e-15	128	0.248864	0.615189	6.91414e-06	3.09944e-06	0.59227	0.134897	0.45294
18.0119	268435456	2.3666e-15	128	0.291763	0.561769	2.14577e-06	8.10623e-06	0.59731	0.121055	0.459726
18.0201	268435456	2.3666e-15	128	0.292121	0.605221	0	5.96046e-06	0.589729	0.125623	0.455778
17.8166	268435456	2.3666e-15	128	0.277787	0.630937	9.53674e-07	7.15256e-06	0.607882	0.102522	0.472743
17.6817	268435456	2.3666e-15	128	0.228555	0.670144	1.19209e-06	9.53674e-07	0.618646	0.122476	0.459133
18.2015	268435456	2.3666e-15	128	0.244152	0.576582	7.86781e-06	9.53674e-07	0.61064	0.096904	0.481169
17.757	268435456	2.3666e-15	128	0.375	0.505903	7.86781e-06	5.00679e-06	0.60318	0.123278	0.451655
18.0409	268435456	2.3666e-15	128	0.254464	0.598436	5.00679e-06	3.09944e-06	0.592825	0.12457	0.45245
18.6508	268435456	2.3666e-15	128	0.163509	0.641771	9.53674e-07	9.53674e-07	0.614705	0.114903	0.461693
17.375	268435456	2.3666e-15	128	0.390097	0.523772	1.90735e-06	9.53674e-07	0.601021	0.129819	0.450331
18.1	268435456	2.3666e-15	128	0.256025	0.58811	9.05991e-06	1.90735e-06	0.582002	0.142115	0.442275
17.9941	268435456	2.3666e-15	128	0.232713	0.618665	0	0	0.600526	0.119308	0.460487
17.6999	268435456	2.3666e-15	128	0.245603	0.624936	7.15256e-06	9.53674e-07	0.609869	0.125313	0.451753
18.0228	268435456	2.3666e-15	128	0.265481	0.605854	5.00679e-06	4.05312e-06	0.588391	0.122729	0.451987
18.6912	268435456	2.3666e-15	128	0.160946	0.64761	3.8147e-06	2.14577e-06	0.607689	0.115117	0.464192
18.5319	268435456	2.3666e-15	128	0.169741	0.670218	3.09944e-06	9.53674e-07	0.594597	0.113814	0.462051
18.2025	268435456	2.3666e-15	128	0.236574	0.596241	4.05312e-06	9.53674e-07	0.598696	0.123493	0.451043
18.0358	268435456	2.3666e-15	128	0.227699	0.636693	1.90735e-06	5.00679e-06	0.599291	0.116568	0.453538
17.4618	268435456	2.3666e-15	128	0.245978	0.662495	3.8147e-06	1.19209e-06	0.604658	0.131651	0.456029
17.6943	268435456	2.3666e-15	128	0.321271	0.553512	0	1.19209e-06	0.603075	0.125974	0.453607
18.7865	268435456	2.3666e-15	128	0.155917	0.640081	2.86102e-06	2.14577e-06	0.609444	0.110267	0.468989
18.1825	268435456	2.3666e-15	128	0.272271	0.573545	6.19888e-06	4.05312e-06	0.581534	0.129247	0.447478
17.8119	268435456	2.3666e-15	128	0.279685	0.593808	5.00679e-06	9.53674e-07	0.598044	0.12853	0.446721
17.7623	268435456	2.3666e-15	128	0.265101	0.644679	6.19888e-06	9.53674e-07	0.598812	0.123047	0.447683
18.2529	268435456	2.3666e-15	128	0.182123	0.659455	3.09944e-06	2.14577e-06	0.611713	0.109981	0.46976
18.3026	268435456	2.3666e-15	128	0.272904	0.552051	5.00679e-06	1.90735e-06	0.596233	0.109748	0.464752
18.8141	268435456	2.3666e-15	128	0.137015	0.648524	5.00679e-06	2.14577e-06	0.624652	0.054148	0.521032
18.0526	268435456	2.3666e-15	128	0.211277	0.63491	2.86102e-06	1.19209e-06	0.608657	0.107631	0.469631
17.8761	268435456	2.3666e-15	128	0.280668	0.589063	1.00136e-05	6.91414e-06	0.59477	0.12866	0.449704
17.8744	268435456	2.3666e-15	128	0.252845	0.600137	9.53674e-07	1.90735e-06	0.610855	0.120739	0.461298
18.142	268435456	2.3666e-15	128	0.186732	0.660256	3.09944e-06	1.90735e-06	0.623252	0.101366	0.475005
17.9332	268435456	2.3666e-15	128	0.317217	0.59031	9.53674e-07	4.05312e-06	0.589995	0.133524	0.44716
18.5351	268435456	2.3666e-15	128	0.153622	0.6543	1.90735e-06	0	0.611154	0.057205	0.519527
18.0767	268435456	2.3666e-15	128	0.254027	0.603759	5.00679e-06	9.53674e-07	0.599534	0.130721	0.443322
18.0413	268435456	2.3666e-15	128	0.27206	0.574301	2.86102e-06	1.90735e-06	0.608717	0.110437	0.468672
17.7369	268435456	2.3666e-15	128	0.268245	0.628118	5.96046e-06	1.90735e-06	0.591161	0.129882	0.453278
17.2042	268435456	2.3666e-15	128	0.309785	0.606015	3.8147e-06	9.53674e-07	0.618373	0.117259	0.461177
18.2739	268435456	2.3666e-15	128	0.183265	0.670618	1.90735e-06	9.53674e-07	0.598086	0.11128	0.470441
17.6443	268435456	2.3666e-15	128	0.304189	0.603212	9.53674e-07	9.53674e-07	0.60234	0.120495	0.460223
17.846	268435456	2.3666e-15	128	0.269915	0.589233	9.53674e-07	9.53674e-07	0.602413	0.116795	0.461981
18.2026	268435456	2.3666e-15	128	0.25496	0.587243	5.96046e-06	9.53674e-07	0.598451	0.116959	0.462902
17.9281	268435456	2.3666e-15	128	0.228257	0.636062	2.14577e-06	1.90735e-06	0.59326	0.142783	0.428171
18.5087	268435456	2.3666e-15	128	0.157343	0.653951	3.09944e-06	9.53674e-07	0.616673	0.057579	0.520912
17.9897	268435456	2.3666e-15	128	0.236595	0.624373	9.05991e-06	9.53674e-07	0.60787	0.132696	0.439968
17.73	268435456	2.3666e-15	128	0.294756	0.580214	7.86781e-06	9.53674e-07	0.599031	0.141677	0.439637
17.1086	268435456	2.3666e-15	128	0.306745	0.676114	9.53674e-07	9.53674e-07	0.611103	0.145318	0.437954
18.4509	268435456	2.3666e-15	128	0.173351	0.648963	1.19209e-06	1.90735e-06	0.614447	0.106438	0.477578
17.886	268435456	2.3666e-15	128	0.266662	0.625663	2.14577e-06	0	0.600935	0.125669	0.44865
18.0741	268435456	2.3666e-15	128	0.231334	0.614861	9.53674e-07	9.53674e-07	0.60584	0.119768	0.465154
18.3424	268435456	2.3666e-15	128	0.216965	0.607439	6.91414e-06	1.90735e-06	0.60219	0.132632	0.445419
18.049	268435456	2.3666e-15	128	0.282062	0.582488	7.15256e-06	5.00679e-06	0.598134	0.137745	0.442269
18.5395	268435456	2.3666e-15	128	0.180426	0.649141	2.86102e-06	9.53674e-07	0.603291	0.122165	0.454656
18.1447	268435456	2.3666e-15	128	0.247124	0.583447	2.86102e-06	9.53674e-07	0.613728	0.090209	0.487923
17.9472	268435456	2.3666e-15	128	0.259277	0.601689	9.53674e-07	1.90735e-06	0.604106	0.13592	0.443362
18.3387	268435456	2.3666e-15	128	0.155192	0.678388	3.8147e-06	1.19209e-06	0.610284	0.099314	0.48205
17.6842	268435456	2.3666e-15	128	0.239772	0.647445	5.00679e-06	9.53674e-07	0.617843	0.126077	0.458455
18.0985	268435456	2.3666e-15	128	0.252641	0.595856	9.53674e-07	1.90735e-06	0.612525	0.138383	0.441856
17.324	268435456	2.3666e-15	128	0.291961	0.656699	9.53674e-07	2.14577e-06	0.616611	0.113883	0.473193
17.8974	268435456	2.3666e-15	128	0.235273	0.621422	2.86102e-06	3.8147e-06	0.606339	0.134301	0.449074
17.8914	268435456	2.3666e-15	128	0.173171	0.71301	2.14577e-06	9.53674e-07	0.603581	0.115041	0.472522
17.7079	268435456	2.3666e-15	128	0.199082	0.687799	5.00679e-06	0	0.621318	0.120497	0.459932
17.7383	268435456	2.3666e-15	128	0.248806	0.62871	6.19888e-06	8.82149e-06	0.598132	0.116117	0.46249
16.9871	268435456	2.3666e-15	128	0.288876	0.632387	4.05312e-06	1.90735e-06	0.619047	0.146584	0.442655
18.6066	268435456	2.3666e-15	128	0.177402	0.64624	1.90735e-06	1.90735e-06	0.599077	0.115071	0.46196
18.033	268435456	2.3666e-15	128	0.28184	0.573154	9.53674e-07	0	0.611122	0.0622251	0.520359
18.5627	268435456	2.3666e-15	128	0.174181	0.656191	2.86102e-06	1.90735e-06	0.600468	0.11336	0.462567
18.4157	268435456	2.3666e-15	128	0.180102	0.663914	3.09944e-06	3.09944e-06	0.595794	0.117648	0.464479
17.8427	268435456	2.3666e-15	128	0.25693	0.605696	5.00679e-06	9.53674e-07	0.624709	0.114872	0.461628
18.1213	268435456	2.3666e-15	128	0.161557	0.703913	2.86102e-06	1.90735e-06	0.610488	0.109442	0.472589
17.9426	268435456	2.3666e-15	128	0.243497	0.628566	5.00679e-06	2.14577e-06	0.604712	0.134766	0.441725
18.6944	268435456	2.3666e-15	128	0.166222	0.629608	9.53674e-07	1.90735e-06	0.598238	0.0990911	0.4762
17.9888	268435456	2.3666e-15	128	0.254647	0.588269	4.05312e-06	3.8147e-06	0.597297	0.134267	0.447638
17.4593	268435456	2.3666e-15	128	0.327187	0.569675	5.00679e-06	2.86102e-06	0.60791	0.136079	0.444655
18.1955	268435456	2.3666e-15	128	0.243299	0.593906	2.14577e-06	0	0.61149	0.132829	0.44739
18.7869	268435456	2.3666e-15	128	0.134015	0.668675	5.00679e-06	1.19209e-06	0.614641	0.0539351	0.521109
17.8376	268435456	2.3666e-15	128	0.258556	0.612426	5.96046e-06	2.86102e-06	0.605427	0.132805	0.44986
17.8209	268435456	2.3666e-15	128	0.208729	0.650131	1.90735e-06	2.14577e-06	0.618029	0.117864	0.458633
18.8317	268435456	2.3666e-15	128	0.177538	0.620428	9.53674e-07	2.14577e-06	0.602686	0.121934	0.457725
18.069	268435456	2.3666e-15	128	0.24277	0.601489	4.05312e-06	9.53674e-07	0.603207	0.118095	0.458105
17.5082	268435456	2.3666e-15	128	0.232826	0.666052	6.91414e-06	9.53674e-07	0.607208	0.123434	0.463892
18.1273	268435456	2.3666e-15	128	0.272745	0.602947	1.19209e-06	2.86102e-06	0.602807	0.131631	0.445993
18.6443	268435456	2.3666e-15	128	0.157819	0.650076	5.00679e-06	9.53674e-07	0.61324	0.121618	0.459096
17.5108	268435456	2.3666e-15	128	0.345854	0.585397	1.19209e-06	9.53674e-07	0.617708	0.130023	0.450078
17.8246	268435456	2.3666e-15	128	0.311466	0.560886	3.09944e-06	9.53674e-07	0.60023	0.133798	0.448385
18.0921	268435456	2.3666e-15	128	0.221581	0.609772	4.05312e-06	2.86102e-06	0.605359	0.132112	0.45081
18.1849	268435456	2.3666e-15	128	0.273537	0.55933	1.90735e-06	5.96046e-06	0.588395	0.122916	0.458859
18.0173	268435456	2.3666e-15	128	0.240091	0.59535	7.86781e-06	9.53674e-07	0.614896	0.106478	0.472713
17.6225	268435456	2.3666e-15	128	0.271446	0.60704	1.90735e-06	9.53674e-07	0.597557	0.135983	0.44744
17.6772	268435456	2.3666e-15	128	0.320773	0.555574	5.00679e-06	5.00679e-06	0.599886	0.13776	0.446448
