MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
17.5152	268435456	2.3666e-15	128	0.180176	0.6794	2.86102e-06	3.09944e-06	0.64336	0.0962002	0.496161
18.8304	268435456	2.3666e-15	128	0.146399	0.649007	2.14577e-06	3.09944e-06	0.60823	0.114434	0.464106
16.8859	268435456	2.3666e-15	128	0.397804	0.547617	1.90735e-06	9.53674e-07	0.61181	0.159456	0.436525
18.5731	268435456	2.3666e-15	128	0.187558	0.630256	3.09944e-06	9.53674e-07	0.598716	0.118105	0.467263
17.81	268435456	2.3666e-15	128	0.286566	0.577314	1.09673e-05	2.14577e-06	0.609294	0.12746	0.450556
17.3079	268435456	2.3666e-15	128	0.374917	0.537586	4.05312e-06	1.90735e-06	0.604971	0.12681	0.457307
17.6965	268435456	2.3666e-15	128	0.231334	0.627958	4.05312e-06	2.14577e-06	0.619891	0.134656	0.445089
18.4175	268435456	2.3666e-15	128	0.16906	0.665855	1.90735e-06	1.90735e-06	0.601326	0.118151	0.465074
18.1424	268435456	2.3666e-15	128	0.30376	0.538549	3.8147e-06	1.90735e-06	0.592271	0.129922	0.448751
18.0602	268435456	2.3666e-15	128	0.247411	0.598826	7.15256e-06	5.00679e-06	0.614045	0.125268	0.452425
18.1448	268435456	2.3666e-15	128	0.119683	0.731172	1.90735e-06	9.53674e-07	0.622689	0.0550311	0.522854
17.5565	268435456	2.3666e-15	128	0.236951	0.674563	7.15256e-06	5.96046e-06	0.602766	0.124281	0.454515
18.248	268435456	2.3666e-15	128	0.241114	0.603751	2.14577e-06	9.53674e-07	0.59626	0.125398	0.450964
18.0265	268435456	2.3666e-15	128	0.328755	0.550786	1.19209e-06	9.53674e-07	0.610811	0.122572	0.45388
17.8341	268435456	2.3666e-15	128	0.332932	0.522044	1.09673e-05	2.86102e-06	0.604087	0.13073	0.449118
17.6202	268435456	2.3666e-15	128	0.283325	0.60467	5.96046e-06	5.00679e-06	0.60399	0.125355	0.458113
18.2326	268435456	2.3666e-15	128	0.24366	0.577503	4.05312e-06	1.19209e-06	0.610206	0.134432	0.446881
18.201	268435456	2.3666e-15	128	0.159414	0.69763	1.90735e-06	2.86102e-06	0.608291	0.111305	0.471951
17.8966	268435456	2.3666e-15	128	0.295196	0.570533	9.05991e-06	8.10623e-06	0.593115	0.13954	0.436346
18.3453	268435456	2.3666e-15	128	0.22451	0.615154	3.8147e-06	3.09944e-06	0.597184	0.118344	0.465351
18.0238	268435456	2.3666e-15	128	0.262906	0.593343	9.53674e-07	1.90735e-06	0.600264	0.134319	0.438419
18.0696	268435456	2.3666e-15	128	0.230348	0.632618	2.14577e-06	9.53674e-07	0.600233	0.115927	0.46409
17.6379	268435456	2.3666e-15	128	0.309071	0.589998	4.05312e-06	2.14577e-06	0.604347	0.128104	0.456252
18.6848	268435456	2.3666e-15	128	0.160246	0.631029	4.05312e-06	2.14577e-06	0.618192	0.098418	0.478562
18.3675	268435456	2.3666e-15	128	0.206989	0.620694	2.86102e-06	3.8147e-06	0.600782	0.102374	0.483702
