MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
18.6819	268435456	2.3666e-15	128	0.129938	0.676547	9.53674e-07	9.53674e-07	0.608727	0.052115	0.530805
17.9309	268435456	2.3666e-15	128	0.215398	0.641204	9.05991e-06	5.96046e-06	0.61641	0.0991361	0.473522
17.6713	268435456	2.3666e-15	128	0.368482	0.574319	2.14577e-06	9.53674e-07	0.591447	0.127714	0.447606
18.159	268435456	2.3666e-15	128	0.254353	0.58568	5.96046e-06	4.05312e-06	0.596916	0.140301	0.433532
18.7862	268435456	2.3666e-15	128	0.243819	0.541571	5.00679e-06	2.14577e-06	0.592583	0.121901	0.458807
19.1161	268435456	2.3666e-15	128	0.161142	0.613994	5.00679e-06	1.90735e-06	0.598656	0.110332	0.46894
18.0653	268435456	2.3666e-15	128	0.27755	0.591342	2.14577e-06	0	0.601175	0.136488	0.431072
17.8269	268435456	2.3666e-15	128	0.244886	0.637167	8.10623e-06	1.90735e-06	0.610175	0.124322	0.451116
18.92	268435456	2.3666e-15	128	0.157174	0.650998	2.86102e-06	2.14577e-06	0.584688	0.120415	0.452741
17.7376	268435456	2.3666e-15	128	0.290874	0.569075	4.05312e-06	9.53674e-07	0.602616	0.117935	0.463472
18.5138	268435456	2.3666e-15	128	0.196402	0.632961	3.09944e-06	5.00679e-06	0.597635	0.112198	0.462629
17.9992	268435456	2.3666e-15	128	0.269504	0.57894	3.09944e-06	2.14577e-06	0.599587	0.127076	0.451513
18.3922	268435456	2.3666e-15	128	0.202883	0.594763	5.00679e-06	3.09944e-06	0.620299	0.0865419	0.487893
18.2858	268435456	2.3666e-15	128	0.183179	0.641626	2.86102e-06	9.53674e-07	0.604172	0.100501	0.480303
17.1051	268435456	2.3666e-15	128	0.385764	0.573124	1.90735e-06	9.53674e-07	0.621009	0.0942709	0.481177
17.0232	268435456	2.3666e-15	128	0.42822	0.522202	4.05312e-06	2.86102e-06	0.592257	0.154736	0.428873
18.1768	268435456	2.3666e-15	128	0.282218	0.549349	5.00679e-06	9.53674e-07	0.601484	0.132129	0.448235
18.5526	268435456	2.3666e-15	128	0.19199	0.629949	4.05312e-06	3.8147e-06	0.593271	0.120877	0.455964
18.0798	268435456	2.3666e-15	128	0.203849	0.644559	5.00679e-06	1.19209e-06	0.608614	0.084775	0.495411
17.9331	268435456	2.3666e-15	128	0.204618	0.655389	7.86781e-06	3.09944e-06	0.607345	0.111229	0.469901
17.8442	268435456	2.3666e-15	128	0.301584	0.567555	8.10623e-06	4.05312e-06	0.591975	0.142782	0.438848
18.3949	268435456	2.3666e-15	128	0.186195	0.669478	9.53674e-07	9.53674e-07	0.591218	0.114218	0.464763
18.6784	268435456	2.3666e-15	128	0.183014	0.632975	2.14577e-06	4.05312e-06	0.601857	0.123758	0.451052
18.5649	268435456	2.3666e-15	128	0.234398	0.561732	5.00679e-06	1.90735e-06	0.605568	0.091547	0.484121
18.2526	268435456	2.3666e-15	128	0.14998	0.687401	4.05312e-06	1.19209e-06	0.621967	0.0554101	0.527186
18.4374	268435456	2.3666e-15	128	0.199493	0.615144	9.53674e-07	2.14577e-06	0.602984	0.109226	0.468918
18.288	268435456	2.3666e-15	128	0.186034	0.63995	3.8147e-06	1.90735e-06	0.611958	0.0575421	0.518165
17.6578	268435456	2.3666e-15	128	0.24519	0.638252	5.96046e-06	1.90735e-06	0.606566	0.133008	0.453271
19.1903	268435456	2.3666e-15	128	0.157285	0.607098	1.90735e-06	1.90735e-06	0.606197	0.053596	0.521873
17.7775	268435456	2.3666e-15	128	0.301362	0.563756	8.10623e-06	9.53674e-07	0.599961	0.142054	0.439185
18.9418	268435456	2.3666e-15	128	0.170591	0.623969	1.90735e-06	9.53674e-07	0.595523	0.117261	0.458784
18.3318	268435456	2.3666e-15	128	0.241082	0.573432	5.00679e-06	9.53674e-07	0.611871	0.095855	0.477013
18.1771	268435456	2.3666e-15	128	0.253079	0.593472	5.96046e-06	9.53674e-07	0.598198	0.140717	0.441309
17.541	268435456	2.3666e-15	128	0.346276	0.546922	4.05312e-06	9.53674e-07	0.607588	0.126775	0.445518
17.5077	268435456	2.3666e-15	128	0.275159	0.639861	5.00679e-06	1.90735e-06	0.601941	0.128407	0.450008
18.2985	268435456	2.3666e-15	128	0.185887	0.637642	7.15256e-06	1.19209e-06	0.612515	0.097924	0.474352
18.5564	268435456	2.3666e-15	128	0.197299	0.61797	2.14577e-06	9.53674e-07	0.600206	0.103354	0.468873
18.6536	268435456	2.3666e-15	128	0.21804	0.601553	5.00679e-06	3.09944e-06	0.586642	0.057559	0.513413
18.7325	268435456	2.3666e-15	128	0.165261	0.613141	5.00679e-06	9.53674e-07	0.612483	0.0639479	0.513235
18.7397	268435456	2.3666e-15	128	0.135646	0.647906	3.09944e-06	0	0.630662	0.051461	0.524142
18.5561	268435456	2.3666e-15	128	0.242022	0.549944	3.09944e-06	2.14577e-06	0.600338	0.115744	0.456258
18.0399	268435456	2.3666e-15	128	0.288514	0.562112	2.86102e-06	9.53674e-07	0.587178	0.123181	0.452654
18.29	268435456	2.3666e-15	128	0.250036	0.56526	5.00679e-06	0	0.607009	0.129884	0.445127
